year,production_bu,acres_harvested,yield_bu_acre,acres_planted,temp_anomaly,uscrn
1866,110237000.0,7935000,13.892501575299306,,,
1867,130730000.0,8176000,15.989481409001957,,,
1868,124144000.0,8897000,13.95346746094189,,,
1869,130896000.0,9555000,13.699215070643643,,,
1870,114091000.0,10348000,11.025415539234634,,,
1871,117848000.0,11061000,10.654371214175933,,,
1872,105229000.0,11789000,8.92603274238697,,,
1873,114806000.0,12010000,9.559200666111574,,,
1874,141677000.0,12775000,11.090176125244618,,,
1875,134088000.0,13616000,9.847826086956522,,,
1876,114316000.0,14589000,7.835766673521146,,,
1877,125473000.0,14816000,8.46875,,,
1878,106257000.0,15830000,6.712381554011371,,,
1879,135267000.0,15955000,8.478031964901286,,,
1880,145798000.0,16414000,8.882539295723163,,,
1881,202883000.0,16916000,11.993556396311185,,,
1882,200646000.0,19075000,10.518794233289647,,,
1883,196366000.0,20621000,9.522622569225547,,,
1884,174408000.0,21974000,7.937016474014745,,,
1885,187860000.0,23351000,8.045051603785705,,,
1886,197307000.0,24426000,8.077745025792188,,,
1887,206976000.0,26272000,7.878197320341047,,,
1888,208787000.0,27807000,7.508433128348977,,,
1889,181730000.0,28697000,6.332717705683521,,,
1890,253907000.0,28275000,8.979911582670203,,,
1891,256009000.0,27756000,9.223555267329587,,,
1892,227481000.0,28168000,8.075866231184323,,,
1893,204437000.0,29266000,6.98547802911228,,,
1894,240213000.0,29556000,8.127385302476654,,,
1895,178767000.0,30905000,5.784403818152403,,-1.86,-99.99
1896,141544000.0,30248000,4.679449880983866,,-2.17,-99.99
1897,173996000.0,28829000,6.035450414513164,,-0.26,-99.99
1898,211532000.0,29327000,7.212875507211784,,-1.31,-99.99
1899,229312000.0,29254000,7.838654542968483,,-1.04,-99.99
1900,239672000.0,31049000,7.719153595929016,,0.24,-99.99
1901,317793000.0,30891000,10.287559483344664,,-0.58,-99.99
1902,328647000.0,31358000,10.480483449199566,,-1.69,-99.99
1903,298707000.0,32187000,9.280361636685619,,-2.0,-99.99
1904,312675000.0,32749000,9.547619774649608,,-1.34,-99.99
1905,317843000.0,33426000,9.508855382037934,,-1.22,-99.99
1906,324231000.0,33688000,9.624525053431489,,-1.0,-99.99
1907,355369000.0,34439000,10.318795551554922,,-1.61,-99.99
1908,408010000.0,34310000,11.891868259982513,,-1.87,-99.99
1909,433803000.0,35062000,12.372454509155212,,-1.14,-99.99
1910,394176000.0,36844000,10.698512647920964,,-0.41,-99.99
1911,397202000.0,37149000,10.692131685913484,,-1.33,-99.99
1912,455568000.0,37244000,12.231983675222855,,-2.54,-99.99
1913,401487000.0,37245000,10.779621425694724,,-1.66,-99.99
1914,467760000.0,37213000,12.569800876037943,,-0.71,-99.99
1915,549989000.0,38802000,14.174243595690944,,-1.23,-99.99
1916,554225000.0,39098000,14.17527750780091,,-2.06,-99.99
1917,1011096000.0,41604000,24.302855494663973,,-2.7,-99.99
1918,977943000.0,42464000,23.029931235870386,,-1.01,-99.99
1919,848266000.0,39601000,21.42031766874574,,-1.04,-99.99
1920,779262000.0,42732000,18.236029205279415,,-0.98,-99.99
1921,336562000.0,45539000,7.3906322053624365,,0.1,-99.99
1922,429199000.0,40324000,10.643760539629005,,0.49,-99.99
1923,499678000.0,40245000,12.415902596595851,,-2.07,-99.99
1924,676315000.0,41857000,16.157751391642975,,-1.28,-99.99
1925,546349000.0,44240000,12.349660940325498,,-2.21,-99.99
1926,461585000.0,42854000,10.771106547813506,43943000.0,-0.74,-99.99
1927,515308000.0,40350000,12.7709541511772,40530000.0,-1.13,-99.99
1928,534480000.0,40128000,13.319377990430622,40242000.0,-1.15,-99.99
1929,465717000.0,38153000,12.20656304877729,40534000.0,-1.22,-99.99
1930,409990000.0,39847000,10.28910582979898,42608000.0,-1.1,-99.99
1931,239150000.0,40193000,5.950041051924464,44483000.0,1.01,-99.99
1932,196383000.0,41700000,4.709424460431655,45549000.0,-1.35,-99.99
1933,246351000.0,36528000,6.744168856767411,43774000.0,0.41,-99.99
1934,261548000.0,29455000,8.879579018842302,40467000.0,0.09,-99.99
1935,319560000.0,40109000,7.967289137101399,43599000.0,-0.68,-99.99
1936,355941000.0,33654000,10.576484221786414,41934000.0,0.27,-99.99
1937,355482000.0,35542000,10.00174441505824,39827000.0,0.21,-99.99
1938,258773000.0,36042000,7.1797624993063645,39390000.0,1.04,-99.99
1939,297354000.0,33460000,8.886849970113568,38203000.0,0.37,-99.99
1940,377319000.0,35431000,10.649403065112471,39315000.0,-0.02,-99.99
1941,485659000.0,38161000,12.726579492151673,41841000.0,-0.61,-99.99
1942,655738000.0,38197000,17.16726444485169,43018000.0,-1.21,-99.99
1943,823297000.0,38914000,21.15683301639513,43467000.0,-0.72,-99.99
1944,815376000.0,39741000,20.51724918849551,44141000.0,-0.33,-99.99
1945,1016276000.0,41739000,24.34835525527684,46025000.0,-0.78,-99.99
1946,1195146000.0,42812000,27.916145006073062,46515000.0,-1.59,-99.99
1947,1232230000.0,37855000,32.551314225333506,42058000.0,1.93,-99.99
1948,1048437000.0,39280000,26.691369653767822,43838000.0,-0.77,-99.99
1949,798867000.0,37794000,21.13740276234323,43132000.0,-1.25,-99.99
1950,1081044000.0,39306000,27.503281941688293,45044000.0,-0.88,-99.99
1951,1048524000.0,35233000,29.759713904578096,41015000.0,-1.22,-99.99
1952,952689000.0,37012000,25.740003242191722,42341000.0,-0.66,-99.99
1953,853909000.0,37536000,22.749067561807333,43220000.0,0.28,-99.99
1954,1002206000.0,40551000,24.714704939458954,46898000.0,-0.11,-99.99
1955,889986000.0,39027000,22.80436620800984,47494000.0,0.39,-99.99
1956,792080000.0,33333000,23.762637626376264,44205000.0,-0.23,-99.99
1957,783122000.0,34065000,22.989050344928813,41840000.0,-2.04,-99.99
1958,811034000.0,31247000,25.955579735654624,37699000.0,-0.06,-99.99
1959,677186000.0,27758000,24.396065998991283,35064000.0,-0.8,-99.99
1960,692774000.0,26588000,26.055889875131637,31419000.0,-0.07,-99.99
1961,649553000.0,23886000,27.193879259817468,32314000.0,-1.22,-99.99
1962,635588000.0,22377000,28.40362872592394,29500000.0,-0.4,-99.99
1963,608219000.0,21308000,28.544161817157875,28054000.0,1.35,-99.99
1964,540875000.0,19759000,27.37360190293031,25634000.0,-1.81,-99.99
1965,587414000.0,18522000,31.71439369398553,24046000.0,-1.94,-99.99
1966,539808000.0,17877000,30.195670414499077,23343000.0,-1.8,-99.99
1967,528034000.0,16110000,32.776784605834884,20719000.0,-1.48,-99.99
1968,575848000.0,17708000,32.51908741811611,23342000.0,-1.5,-99.99
1969,572321000.0,17971000,31.84692003783874,23561000.0,-1.28,-99.99
1970,582225000.0,18594000,31.312520167796063,24410000.0,-1.13,-99.99
1971,543715000.0,15705000,34.620503024514484,21831000.0,-0.74,-99.99
1972,507202000.0,13410000,37.822669649515284,19990000.0,-1.74,-99.99
1973,774985000.0,13770000,56.28068264342774,18605000.0,-0.18,-99.99
1974,912010000.0,12608000,72.33581852791878,17013000.0,-2.38,-99.99
1975,923568000.0,13038000,70.83663138518178,16434000.0,-1.53,-99.99
1976,835180000.0,11834000,70.5746155146189,16620000.0,-2.93,-99.99
1977,823368000.0,13485000,61.05806451612903,17732000.0,-0.65,-99.99
1978,688625000.0,11126000,61.893312960632755,16407000.0,-0.53,-99.99
1979,715996000.0,9682000,73.95124974178889,13960000.0,-0.44,-99.99
1980,813536000.0,8657000,93.97435601247545,13381000.0,-0.67,-99.99
1981,957179000.0,9407000,101.75178058892314,13632000.0,-1.43,-99.99
1982,883724000.0,10258000,86.14973679079742,13951000.0,-1.41,-99.99
1983,793614000.0,9062000,87.57603178106378,20289000.0,0.67,-99.99
1984,798739000.0,8163000,97.84870758299645,12414000.0,-1.25,-99.99
1985,642247000.0,8147000,78.83233091935682,13235000.0,-1.86,-99.99
1986,469061000.0,6840000,68.57616959064327,14671000.0,-1.4,-99.99
1987,605599000.0,6888000,87.9208768873403,17907000.0,-1.19,-99.99
1988,532238000.0,5530000,96.24556962025316,13907000.0,-0.47,-99.99
1989,548938000.0,6882000,79.76431269979658,12085000.0,-1.3,-99.99
1990,417762000.0,5947000,70.24751975786111,10423000.0,-0.01,-99.99
1991,309735000.0,4816000,64.31374584717608,8653000.0,-0.33,-99.99
1992,399595000.0,4496000,88.87789145907473,7943000.0,-1.53,-99.99
1993,290948000.0,3803000,76.50486458059427,7937000.0,-1.82,-99.99
1994,299627000.0,4008000,74.75723552894212,6637000.0,-0.55,-99.99
1995,278941000.0,2952000,94.49220867208672,6225000.0,-0.06,-99.99
1996,313910000.0,2655000,118.23352165725048,4638000.0,-1.36,-99.99
1997,273284000.0,2813000,97.15037326697475,5068000.0,-0.52,-99.99
1998,199475000.0,2752000,72.48364825581395,4891000.0,1.51,-99.99
1999,174307000.0,2445000,71.29120654396728,4668000.0,-0.54,-99.99
2000,175432000.0,2325000,75.45462365591398,4473000.0,0.36,-99.99
2001,197181000.0,1911000,103.18210361067504,4401000.0,0.25,-99.99
2002,212078000.0,2058000,103.05053449951409,4995000.0,-0.69,-99.99
2003,224910000.0,2220000,101.3108108108108,4597000.0,0.85,-99.99
2004,178327000.0,1787000,99.79127028539452,4085000.0,-0.82,-99.99
